chemistry,feature,fold,seed,weights_file,sha256,param_count,weights_provenance
NMC,T6,DST,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/DST/1/s3_3l_rg_gru_t6_r_dst_s012_b2048_e200_seed1_final_epoch200_weights.pt,b492a2c4707cbb248e66b317e0ada93a84c8e12a04084b4ce67eaf805cbbd8e1,119044,frozen_package
NMC,T6,DST,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/DST/2/s3_3l_rg_gru_t6_r_dst_s012_b2048_e200_seed2_final_epoch200_weights.pt,64c4a6599bd070e8257dc13c4c7874d59f0105389bd22218f4c9fc200d2aa1bf,119044,frozen_package
NMC,T6,FUDS,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/FUDS/0/s3_3l_rg_gru_t6_r_fuds_s012_b2048_e200_seed0_final_epoch200_weights.pt,13386cbcbec10e1e7135b75dc40d879d38bf858e5b195391a51a959a61c4e612,119044,frozen_package
NMC,T6,FUDS,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/FUDS/1/s3_3l_rg_gru_t6_r_fuds_s012_b2048_e200_seed1_final_epoch200_weights.pt,8d06477266a29eaf1554e363a921e84d4470cb792fd166edadd8ca122dc91260,119044,frozen_package
NMC,T6,FUDS,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/FUDS/2/s3_3l_rg_gru_t6_r_fuds_s012_b2048_e200_seed2_final_epoch200_weights.pt,eda6a9803bb9cdb860ab30733d09b4ce3154a429acaf44f1f01ebe95b884711a,119044,frozen_package
NMC,T6,US06,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/US06/0/s3_3l_rg_gru_t6_r_us06_s012_b2048_e200_seed0_final_epoch200_weights.pt,a87e811144ba7773c45754c22c7ba1126f069f0ab6a87e4aac4587e47c4ec6ca,119044,frozen_package
NMC,T6,US06,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/US06/1/s3_3l_rg_gru_t6_r_us06_s012_b2048_e200_seed1_final_epoch200_weights.pt,95afca8f267fb84b048357d6a145bcad03fa9ff917ea45d8b339b2fb979e81f6,119044,frozen_package
NMC,T6,US06,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/US06/2/s3_3l_rg_gru_t6_r_us06_s012_b2048_e200_seed2_final_epoch200_weights.pt,0702710f0aaa0c35ee44d86ba1371abb5f9adf27614188d954e145848db2b674,119044,frozen_package
LFP,G4,DST,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/DST/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_seed0_final_epoch200_weights.pt,11974da04407f1bcc570de446305d15040bfde0f1686a7b50c6a8236ad7f078a,120068,frozen_package
LFP,G4,DST,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/DST/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_seed1_final_epoch200_weights.pt,8c8c6b51ad4a1cbb2bbf39022457e40e910a816136b18d40976da5fb68c371f7,120068,frozen_package
LFP,G4,DST,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/DST/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_seed2_final_epoch200_weights.pt,0fe85b6f4f6248ce6cc10fabb8717906716109ef3fb9cd4bfcfd14fd7cf37c6e,120068,frozen_package
LFP,G4,FUDS,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/FUDS/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_seed0_final_epoch200_weights.pt,9c398b9d59388464edbe24ab47f3563d930863aa5c6820f25371b2b973d5a7a3,120068,frozen_package
LFP,G4,FUDS,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/FUDS/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_seed1_final_epoch200_weights.pt,2515f8a02f7c59f16f16c082119ddccd5e12e7dc39ba25f92056b8114d63fa0b,120068,frozen_package
LFP,G4,FUDS,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/FUDS/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutfuds_s012_b2048_e200_seed2_final_epoch200_weights.pt,abfab6bf079d9624ba9d5b2e49393ac53c72b3dea91450db5de5e91a393a2690,120068,frozen_package
LFP,G4,US06,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/US06/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutus06_s012_b2048_e200_seed0_final_epoch200_weights.pt,b6d22e70940b94207d6b0faf8b416607249614afdac9d79327ebbb84c11b183f,120068,frozen_package
LFP,G4,US06,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/US06/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutus06_s012_b2048_e200_seed1_final_epoch200_weights.pt,ebff084fae9c6a79322ba1d4c10929905d072e54c12dfb78b98b27902b8a3c9a,120068,frozen_package
LFP,G4,US06,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/G4/US06/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutus06_s012_b2048_e200_seed2_final_epoch200_weights.pt,083951b3e1cc63f3478c434cf450047a6c3648716f6cbca610dd83283a5e1027,120068,frozen_package
LFP,T6,DST,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/DST/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutdst_s012_b2048_e200_seed0_final_epoch200_weights.pt,3940bd6cb9fdd545677d3ed27ce4cbaf805270c7ea91c7aac11ddd242a4c5dab,119044,frozen_package
LFP,T6,DST,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/DST/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutdst_s012_b2048_e200_seed1_final_epoch200_weights.pt,6b3f7cc5b959f57f795bbe0f432a9ca673207bd4cb53aac64b5fbcc394832ddf,119044,frozen_package
LFP,T6,DST,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/DST/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutdst_s012_b2048_e200_seed2_final_epoch200_weights.pt,cb4d5ebbf9dfd583d3f476725da7ec2cb340848a9bcc8bfce3c6abbff606235f,119044,frozen_package
LFP,T6,FUDS,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/FUDS/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutfuds_s012_b2048_e200_seed0_final_epoch200_weights.pt,a696b8ec8f4319123d2f25c4f31f09aa095b71e4c8df4735e1e596ccd5c7e699,119044,frozen_package
LFP,T6,FUDS,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/FUDS/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutfuds_s012_b2048_e200_seed1_final_epoch200_weights.pt,23ea74f5b770c31c8a4c53da1e80781b2bf6cc34a27e34ed62ab10a7ac793540,119044,frozen_package
LFP,T6,FUDS,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/FUDS/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutfuds_s012_b2048_e200_seed2_final_epoch200_weights.pt,e0620f7aad5cb270abf93a3e9f6975921b97eacff8a11656151fba63c13eea82,119044,frozen_package
LFP,T6,US06,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/US06/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutus06_s012_b2048_e200_seed0_final_epoch200_weights.pt,041f4761126dbea5e5a862e1268e8574179deb59405b9ae128b826c4d7e6601b,119044,frozen_package
LFP,T6,US06,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/US06/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutus06_s012_b2048_e200_seed1_final_epoch200_weights.pt,548c8c9a8f0a2134a023e64e38476cadbda32ac7907e1df1063621d93033c2ab,119044,frozen_package
LFP,T6,US06,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T6/US06/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t6_holdoutus06_s012_b2048_e200_seed2_final_epoch200_weights.pt,f83ad2e686b0b6935069cca7bf948c46db8bdb3d4fdf4453a3541124fcd3c31f,119044,frozen_package
LFP,T7,DST,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/DST/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutdst_s012_b2048_e200_seed0_final_epoch200_weights.pt,b72a4e0a5267e1320eb8031c3d603b165bb0684299b617d06c7772b703d4fbf0,118532,frozen_package
LFP,T7,DST,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/DST/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutdst_s012_b2048_e200_seed1_final_epoch200_weights.pt,1fb5e2603f25836a52b57fe7680a9acf965602fc60c4aa7cf2374458650c7e13,118532,frozen_package
LFP,T7,DST,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/DST/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutdst_s012_b2048_e200_seed2_final_epoch200_weights.pt,526cc15309a92869c3ee9f38065bacfb52c68510ed6dd98a78cea90096cf07e6,118532,frozen_package
LFP,T7,FUDS,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/FUDS/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutfuds_s012_b2048_e200_seed0_final_epoch200_weights.pt,f32cbbe2624dbf334d787ee04416050b8e010dcf676240c16699f6eca8757911,118532,frozen_package
LFP,T7,FUDS,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/FUDS/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutfuds_s012_b2048_e200_seed1_final_epoch200_weights.pt,501839298706248228d038eb077146614804e2e621afc44c1bcbea85b9f10bf5,118532,frozen_package
LFP,T7,FUDS,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/FUDS/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutfuds_s012_b2048_e200_seed2_final_epoch200_weights.pt,23f0023c55d4c1259a6d46a4484a2cfb8c7c2158eff639c995a72d802b1ec917,118532,frozen_package
LFP,T7,US06,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/US06/0/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutus06_s012_b2048_e200_seed0_final_epoch200_weights.pt,11f64693cb2b6d3da575b30964c0a4a25d10af32e4df2d5c6e4e8493b1a7ab03,118532,frozen_package
LFP,T7,US06,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/US06/1/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutus06_s012_b2048_e200_seed1_final_epoch200_weights.pt,f8e32ca0c878078ef1548237f43915bddae9a6933498ef07bc8b2cb4447a0676,118532,frozen_package
LFP,T7,US06,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/lfp/deep_learning/inference_pkg_lfp/T7/US06/2/lfpconfirm_all8_train_all8_test_tier1_gru_residual_t7_holdoutus06_s012_b2048_e200_seed2_final_epoch200_weights.pt,4a4a59f254f642734c6a8bcd1424796907aac7245081723b3276ebdda4ca5647,118532,frozen_package
