chemistry,fold,temperature_C,path,bytes,sha256
LFP,DST,40,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/40C/LFP_40C_DST.csv,2261725,b3e6acb96f463d52e8b8707ffb76ea08fd17c2af99230a44dd1d6563af2c37bb
LFP,DST,50,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,2264078,26345362c60928f04cf0408ed9ccb9485b43d3059cba6128e852e4dfc673ab34
LFP,FUDS,-10,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,1719471,fca4c4029fcf79349478028304e90b2049008ee75eb59b35c8037b1c765d96a5
LFP,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/0C/LFP_0C_FUDS.csv,2222688,be97e397d8e0cc640b5d0228ef010ce93c2618d48e900446f3a9356676487eb7
LFP,FUDS,10,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/10C/LFP_10C_FUDS.csv,2190972,001f8d7cd09cefa9f05bb3ffdbe3d2e865f4e3ea284894ea6d700c4445a3bf3e
LFP,FUDS,20,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/20C/LFP_20C_FUDS.csv,2326863,f2e90aa53b4b6b4b008ee510801c394a117222211949e03f5a2965a0a804823d
LFP,FUDS,25,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,2254884,d8089862a0502881873d6d7de2ca91c4727e0636550f3d1038ce8124013fbab9
LFP,FUDS,30,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/30C/LFP_30C_FUDS.csv,2318351,29f63361ef64ae0901596dc02b9a85185f2a8776721b10c930e32aca7b75a1ea
LFP,FUDS,40,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/40C/LFP_40C_FUDS.csv,2326176,9b11a3cb0122e1db8685ed32ac7bbdc2260dd56c963e3fc055cda1468de9637f
LFP,FUDS,50,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,2337668,dea2411b645750917433b2fcbe14efddb7054cc18894357e00f9a8360d4e8e6b
LFP,US06,-10,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,1548096,7464de821388da9abb20f80ef68dc5c8038019ed970bacd1bd18da178b84d64a
LFP,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/0C/LFP_0C_US06.csv,2009083,9cfee7f5d8c8e5e4ed40876c9c61c3b7e78fda2dcfce764cceacfc783aba4b9b
LFP,US06,10,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/10C/LFP_10C_US06.csv,2162456,1c4a5552b2373c6f838c68786e039c9916c1c8a9df0a0642f38ab5cd58dfe621
LFP,US06,20,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/20C/LFP_20C_US06.csv,2204849,bdbe02ee59c2dac625d8ac6fe40f595c1d8a5f9f813f572ca0cab455c187d8b0
LFP,US06,25,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,2133218,59839273f722a9926b91d39f76493d72e0b588cac6ededdc58671eb187e15767
LFP,US06,30,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/30C/LFP_30C_US06.csv,2236750,fb4f0bf3495b05904dc9103e10bb7c71f537e1af055d6be454c60175bf191001
LFP,US06,40,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/40C/LFP_40C_US06.csv,2150427,43d188581f49fbc832b30742b3e37d4c9e05f443d0a9da9c345e3464e3271794
LFP,US06,50,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,2204159,4dc9e66c2419de5b76b81e78eca3b1a0356624f2b1fa51daa038f7a43fbc5cd4
