chemistry,method,precision,clock_mhz,stage,n_reps,cycles_median,cycles_p90,us_median,us_p90
NMC,2RC_EKF,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_EKF,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_EKF,fp64,250.0,total_per_sample,1024,124499.5,126029.4,497.998,504.1176
NMC,2RC_UKF,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_UKF,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_UKF,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_UKF,fp64,250.0,total_per_sample,1024,237696.5,239358.0,950.786,957.432
NMC,Adaptive_2RC_EKF,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,Adaptive_2RC_EKF,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,Adaptive_2RC_EKF,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,Adaptive_2RC_EKF,fp64,250.0,total_per_sample,1024,124834.0,128085.4,499.336,512.3416
NMC,CC,fp32,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,CC,fp32,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,CC,fp32,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,CC,fp32,250.0,total_per_sample,1024,1483.0,1483.0,5.932,5.932
