model,temperature_C,sample_index,expected_onnx_boundary_fraction,mcu_fraction,abs_diff_pct,total_cycles,network_cycles
nmc_t6plain_dst_s0,45,51,0.8562886,0.8562887,5.960464477539063e-06,47922935,47899853
nmc_t6plain_dst_s0,45,52,0.8561027,0.8561027,0.0,47923118,47900045
nmc_t6plain_dst_s0,45,53,0.85592735,0.8559273,5.960464477539063e-06,47923375,47900293
nmc_t6plain_dst_s0,45,54,0.855756,0.855756,0.0,47923723,47900650
nmc_t6plain_dst_s0,45,55,0.85559046,0.8555905,5.960464477539063e-06,47924013,47900931
nmc_t6plain_dst_s0,45,56,0.8556011,0.85560113,5.960464477539063e-06,47924291,47901220
nmc_t6plain_dst_s0,45,57,0.8552722,0.8552721,5.960464477539063e-06,47924611,47901540
nmc_t6plain_dst_s0,45,58,0.8550986,0.8550986,0.0,47924811,47901733
nmc_t6plain_dst_s0,45,59,0.8550489,0.85504895,5.960464477539063e-06,47924975,47901895
nmc_t6plain_dst_s0,45,60,0.85508084,0.8550809,5.960464477539063e-06,47925184,47902113
nmc_t6plain_dst_s0,45,61,0.8551573,0.8551574,5.960464477539063e-06,47925300,47902229
nmc_t6plain_dst_s0,45,62,0.8552541,0.8552541,0.0,47925263,47902192
nmc_t6plain_dst_s0,45,63,0.8553571,0.8553571,0.0,47925219,47902148
nmc_t6plain_dst_s0,45,64,0.8557691,0.8557691,0.0,47925294,47902210
nmc_t6plain_dst_s0,45,65,0.85600233,0.85600233,0.0,47925247,47902165
nmc_t6plain_dst_s0,45,66,0.8560934,0.85609335,5.960464477539063e-06,47925392,47902310
nmc_t6plain_dst_s0,45,67,0.8561157,0.8561157,0.0,47925628,47902546
nmc_t6plain_dst_s0,45,68,0.85609066,0.8560905,1.7881393432617188e-05,47925876,47902803
nmc_t6plain_dst_s0,45,69,0.85604376,0.85604376,0.0,47926137,47903055
nmc_t6plain_dst_s0,45,70,0.8559865,0.8559864,5.960464477539063e-06,47926368,47903286
lfp_t6plain_dst_s0,-10,49,0.9914547801017761,0.9914547204971313,5.9604644775390625e-06,47900628,47888783
lfp_t6plain_dst_s0,-10,50,0.9914315342903137,0.991431474685669,5.9604644775390625e-06,47910741,47887676
lfp_t6plain_dst_s0,-10,51,0.9913997650146484,0.9913997650146484,0.0,47909921,47886856
lfp_t6plain_dst_s0,-10,52,0.9913588166236877,0.9913588762283325,5.9604644775390625e-06,47909145,47886080
lfp_t6plain_dst_s0,-10,53,0.9913084506988525,0.9913083910942078,5.9604644775390625e-06,47908133,47885068
lfp_t6plain_dst_s0,-10,54,0.9912481307983398,0.9912481307983398,0.0,47907269,47884204
lfp_t6plain_dst_s0,-10,55,0.9911776185035706,0.9911776185035706,0.0,47906346,47883281
lfp_t6plain_dst_s0,-10,56,0.9910562038421631,0.9910562038421631,0.0,47905473,47882410
lfp_t6plain_dst_s0,-10,57,0.990967869758606,0.9909679293632507,5.9604644775390625e-06,47904819,47881756
lfp_t6plain_dst_s0,-10,58,0.9909471273422241,0.9909471273422241,0.0,47904090,47881027
lfp_t6plain_dst_s0,-10,59,0.99094557762146,0.99094557762146,0.0,47902961,47879898
lfp_t6plain_dst_s0,-10,60,0.9909475445747375,0.990947425365448,1.1920928955078125e-05,47902135,47879072
lfp_t6plain_dst_s0,-10,61,0.9909490346908569,0.9909489750862122,5.9604644775390625e-06,47901129,47878059
lfp_t6plain_dst_s0,-10,62,0.9909493923187256,0.9909494519233704,5.9604644775390625e-06,47900362,47877299
lfp_t6plain_dst_s0,-10,63,0.9909486770629883,0.9909487366676331,5.9604644775390625e-06,47899698,47876624
lfp_t6plain_dst_s0,-10,64,0.9911810159683228,0.9911810159683228,0.0,47899637,47876566
lfp_t6plain_dst_s0,-10,65,0.9912265539169312,0.9912264943122864,5.9604644775390625e-06,47899159,47876088
lfp_t6plain_dst_s0,-10,66,0.9912271499633789,0.9912270903587341,5.9604644775390625e-06,47899045,47875974
lfp_t6plain_dst_s0,-10,67,0.9912126064300537,0.9912125468254089,5.9604644775390625e-06,47898988,47875917
lfp_t6plain_dst_s0,-10,68,0.991192102432251,0.9911920428276062,5.9604644775390625e-06,47898439,47875368
lfp_t6plain_dst_s0,-10,69,0.9911689758300781,0.9911690950393677,1.1920928955078125e-05,47897981,47874910
lfp_t6plain_dst_s0,-10,70,0.9911453723907471,0.9911453127861023,5.9604644775390625e-06,47897408,47874337
lfp_t6plain_dst_s0,25,49,0.9919934272766113,0.9919933080673218,1.1920928955078125e-05,47890603,47878111
lfp_t6plain_dst_s0,25,50,0.9919720888137817,0.9919720888137817,0.0,47902183,47878233
lfp_t6plain_dst_s0,25,51,0.9919469356536865,0.9919469952583313,5.9604644775390625e-06,47902368,47878418
lfp_t6plain_dst_s0,25,52,0.9919177293777466,0.9919177889823914,5.9604644775390625e-06,47902514,47878564
lfp_t6plain_dst_s0,25,53,0.9918841123580933,0.9918841123580933,0.0,47902579,47878629
lfp_t6plain_dst_s0,25,54,0.9918459057807922,0.9918459057807922,0.0,47902525,47878575
lfp_t6plain_dst_s0,25,55,0.9918029308319092,0.9918028712272644,5.9604644775390625e-06,47902562,47878612
lfp_t6plain_dst_s0,25,56,0.9915076494216919,0.9915076494216919,0.0,47902292,47878343
lfp_t6plain_dst_s0,25,57,0.9914088249206543,0.9914088845252991,5.9604644775390625e-06,47902278,47878329
lfp_t6plain_dst_s0,25,58,0.9913917779922485,0.9913917779922485,0.0,47902251,47878302
lfp_t6plain_dst_s0,25,59,0.9913961887359619,0.9913962483406067,5.9604644775390625e-06,47902222,47878273
lfp_t6plain_dst_s0,25,60,0.9914047718048096,0.9914047718048096,0.0,47902298,47878349
lfp_t6plain_dst_s0,25,61,0.991412878036499,0.9914129972457886,1.1920928955078125e-05,47902375,47878419
lfp_t6plain_dst_s0,25,62,0.9914194345474243,0.9914194345474243,0.0,47902368,47878419
lfp_t6plain_dst_s0,25,63,0.9914242029190063,0.9914241433143616,5.9604644775390625e-06,47902556,47878602
lfp_t6plain_dst_s0,25,64,0.9916799068450928,0.9916799664497375,5.9604644775390625e-06,47902533,47878575
lfp_t6plain_dst_s0,25,65,0.9917373657226562,0.991737425327301,5.9604644775390625e-06,47901833,47877875
lfp_t6plain_dst_s0,25,66,0.9917501211166382,0.9917500615119934,5.9604644775390625e-06,47901878,47877920
lfp_t6plain_dst_s0,25,67,0.9917486310005188,0.9917486906051636,5.9604644775390625e-06,47901916,47877958
lfp_t6plain_dst_s0,25,68,0.9917412996292114,0.9917412996292114,0.0,47902057,47878099
lfp_t6plain_dst_s0,25,69,0.9917312860488892,0.9917313456535339,5.9604644775390625e-06,47902237,47878279
lfp_t6plain_dst_s0,25,70,0.9917199611663818,0.9917199611663818,0.0,47902534,47878576
lfp_t6plain_dst_s0,50,49,0.9910452365875244,0.9910452961921692,5.9604644775390625e-06,47892729,47880879
lfp_t6plain_dst_s0,50,50,0.9910217523574829,0.9910216927528381,5.9604644775390625e-06,47904097,47881019
lfp_t6plain_dst_s0,50,51,0.9909957051277161,0.9909957051277161,0.0,47904283,47881205
lfp_t6plain_dst_s0,50,52,0.990966796875,0.9909666776657104,1.1920928955078125e-05,47904457,47881379
lfp_t6plain_dst_s0,50,53,0.9909345507621765,0.9909345507621765,0.0,47904648,47881570
lfp_t6plain_dst_s0,50,54,0.9908990859985352,0.9908990859985352,0.0,47904897,47881819
lfp_t6plain_dst_s0,50,55,0.990859866142273,0.9908599257469177,5.9604644775390625e-06,47905158,47882080
lfp_t6plain_dst_s0,50,56,0.9905490875244141,0.9905491471290588,5.9604644775390625e-06,47905489,47882413
lfp_t6plain_dst_s0,50,57,0.9904682636260986,0.9904682040214539,5.9604644775390625e-06,47905669,47882593
lfp_t6plain_dst_s0,50,58,0.9904657602310181,0.9904657602310181,0.0,47905749,47882673
lfp_t6plain_dst_s0,50,59,0.9904782176017761,0.9904782772064209,5.9604644775390625e-06,47906233,47883157
lfp_t6plain_dst_s0,50,60,0.990490734577179,0.9904907941818237,5.9604644775390625e-06,47906357,47883281
lfp_t6plain_dst_s0,50,61,0.99049973487854,0.9904997944831848,5.9604644775390625e-06,47906517,47883434
lfp_t6plain_dst_s0,50,62,0.9905058741569519,0.9905058741569519,0.0,47906513,47883437
lfp_t6plain_dst_s0,50,63,0.9905093312263489,0.9905093908309937,5.9604644775390625e-06,47906579,47883492
lfp_t6plain_dst_s0,50,64,0.9907615184783936,0.9907614588737488,5.9604644775390625e-06,47906624,47883539
lfp_t6plain_dst_s0,50,65,0.9908174276351929,0.9908174276351929,0.0,47907083,47883998
lfp_t6plain_dst_s0,50,66,0.9908276796340942,0.990827739238739,5.9604644775390625e-06,47907439,47884354
lfp_t6plain_dst_s0,50,67,0.990825891494751,0.9908259510993958,5.9604644775390625e-06,47907903,47884818
lfp_t6plain_dst_s0,50,68,0.9908201694488525,0.9908201098442078,5.9604644775390625e-06,47908222,47885137
lfp_t6plain_dst_s0,50,69,0.9908127784729004,0.9908128380775452,5.9604644775390625e-06,47908544,47885459
lfp_t6plain_dst_s0,50,70,0.9908047318458557,0.9908047914505005,5.9604644775390625e-06,47909017,47885932
